model,num_nodes,num_processes,num_gpus,num_prompts,prompt_len,model_parallelism,data_parallelism,quantization,machine,inference_time,request_id,timestamp
falcon-7b,1,1,1,1,26,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.4345972537994385,723962f4-94b7-4ed6-9e3f-a842782c4dc8,2023-09-28 03:59:09
falcon-7b,1,1,1,1,118,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.8592877388000488,0829c916-6ee9-4970-9ba4-dd02ea190103,2023-09-28 03:59:09
falcon-7b,1,1,1,1,31,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.2257041931152344,e7d29149-dd43-4377-b792-1cf8fc4a2261,2023-09-28 03:59:11
falcon-7b,1,1,1,1,58,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.762110710144043,ba8bf794-8a9c-4368-a993-ea5f9655374c,2023-09-28 03:59:11
falcon-7b,1,1,1,1,48,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.5990643501281738,c3f08c41-963d-42fb-a712-910cd05df0fd,2023-09-28 03:59:13
falcon-7b,1,1,1,1,119,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.8961472511291504,dbf1a4f0-e572-4485-9a6b-bb325a71af24,2023-09-28 03:59:15
falcon-7b,1,1,1,1,83,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.9122469425201416,43bb9f6a-2edf-431f-8b71-c94e51ba246f,2023-09-28 03:59:16
falcon-7b,1,1,1,1,50,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.6537506580352783,9e357fd1-680a-4ffe-bec0-74b355b41e4b,2023-09-28 03:59:18
falcon-7b,1,1,2,1,12,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.742316484451294,0bcd5489-7275-4a2f-81e6-e18624744aca,2023-09-28 04:11:07
falcon-7b,1,1,2,1,88,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.6694154739379883,4aa1a92c-b883-4628-9569-4ddfc9f61d20,2023-09-28 04:11:09
falcon-7b,1,1,2,1,131,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.6582763195037842,b039d7fa-a3eb-4032-9a25-170eef14d6c7,2023-09-28 04:11:10
falcon-7b,1,1,2,1,128,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,6.019872426986694,8eae5511-47ac-4332-b5c8-4c881071aea6,2023-09-28 04:11:16
falcon-7b,1,1,2,1,91,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,4.248003005981445,81d063da-19a9-4f64-8957-04ff9be0fda9,2023-09-28 04:11:20
falcon-7b,1,1,2,1,137,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,6.20500636100769,8b7a6b5a-9071-47cf-b32e-d7a76bbe2f20,2023-09-28 04:11:26
falcon-7b,1,1,2,1,122,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,5.9857871532440186,8c02a53e-24b2-4023-a242-4f7a3a79ea8d,2023-09-28 04:11:32
falcon-7b,1,1,2,1,59,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.519160270690918,54e74f61-bee6-4d70-82fb-40b66990d1c4,2023-09-28 04:11:34
falcon-7b,1,1,2,1,85,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,2.844090700149536,3986e81b-ca5c-4e7b-89ee-9b5dae5a67b5,2023-09-28 04:11:36
